City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san luis,-33.295,-66.3356,8.47,40,0,1.02,AR,1748465566
1,port-vila,-17.7338,168.3219,21.78,88,20,3.09,VU,1748465567
2,zhytkavichy,52.2168,27.8561,13.09,98,59,2.83,BY,1748465568
3,adamstown,-25.066,-130.1015,21.56,57,65,7.6,PN,1748465569
4,nar'yan-mar,67.6713,53.087,10.03,75,21,3.02,RU,1748465570
5,edinburgh of the seven seas,-37.0676,-12.3116,14.1,73,77,8.71,SH,1748465571
6,bochum,51.4833,7.2167,12.27,82,5,2.1,DE,1748465357
7,puerto natales,-51.7236,-72.4875,5.75,89,99,3.26,CL,1748465573
8,kudahuvadhoo,2.6708,72.8944,28.64,75,100,8.53,MV,1748465574
9,yujing,23.1249,120.4614,24.29,95,92,1.81,TW,1748465575
10,namibe,-15.1961,12.1522,22.29,65,0,0.87,AO,1748465576
11,greymouth,-42.4667,171.2,9.44,93,33,3.13,NZ,1748465577
12,tolanaro,-25.0319,46.9987,20.04,88,20,0.0,MG,1748465578
13,tiksi,71.6872,128.8694,0.57,99,100,1.34,RU,1748465579
14,bilibino,68.0546,166.4372,0.11,68,25,0.84,RU,1748465581
15,bredasdorp,-34.5322,20.0403,17.32,67,50,8.49,ZA,1748465582
16,hasaki,35.7333,140.8333,17.4,67,100,2.52,JP,1748465583
17,sinop,41.7711,34.8709,12.33,70,48,2.88,TR,1748465584
18,kondopoga,62.2057,34.2614,13.54,97,100,1.65,RU,1748465585
19,osakarovka,50.565,72.5692,12.54,61,95,3.26,KZ,1748465586
20,hamilton,39.1834,-84.5333,18.69,89,100,3.09,US,1748465588
21,atafu village,-8.5421,-172.5159,28.98,78,98,7.95,TK,1748465589
22,key west,24.5557,-81.7826,33.0,70,0,5.14,US,1748465590
23,bethel,41.3712,-73.414,18.88,55,100,4.63,US,1748465591
24,ushuaia,-54.8,-68.3,2.81,75,20,1.54,AR,1748465592
25,grytviken,-54.2811,-36.5092,1.73,96,100,8.44,GS,1748465593
26,port-aux-francais,-49.35,70.2167,3.94,69,41,14.07,TF,1748465595
27,whitehorse,60.7161,-135.0538,10.57,87,100,2.06,CA,1748465597
28,serres,41.0856,23.5497,15.37,74,1,1.38,GR,1748465598
29,mandal,25.45,74.5667,32.09,40,100,5.49,IN,1748465599
30,stanley,54.868,-1.6985,12.91,69,0,2.06,GB,1748465600
31,weatherford,32.7593,-97.7972,26.07,73,25,2.24,US,1748465601
32,albany,42.6001,-73.9662,23.77,47,100,1.34,US,1748465602
33,gisborne,-38.6533,178.0042,14.45,78,32,1.71,NZ,1748465450
34,tanumah,27.1,44.1333,32.14,12,0,6.78,SA,1748465604
35,yellowknife,62.456,-114.3525,23.29,23,20,4.63,CA,1748465605
36,olyokminsk,60.3736,120.4264,9.58,76,100,4.93,RU,1748465606
37,topeka,39.0483,-95.678,21.94,58,100,1.34,US,1748465608
38,olonkinbyen,70.9221,-8.7187,-0.96,79,68,1.46,SJ,1748465609
39,puerto aysen,-45.4,-72.7,6.95,99,100,1.57,CL,1748465610
40,phang nga,8.4509,98.5298,24.91,95,100,1.34,TH,1748465611
41,georgetown,5.4112,100.3354,28.97,84,20,1.03,MY,1748465612
42,ribeira grande,38.5167,-28.7,19.32,94,75,8.75,PT,1748465613
43,college,64.8569,-147.8028,13.99,50,75,1.54,US,1748465614
44,kapa'a,22.0752,-159.319,27.18,73,20,4.12,US,1748465616
45,porbandar,21.6422,69.6093,28.62,82,88,4.67,IN,1748465617
46,tofol,5.3248,163.0078,28.22,79,97,7.43,FM,1748465618
47,cumana,10.4635,-64.1775,27.55,76,10,7.86,VE,1748465620
48,karratha,-20.7377,116.8463,23.27,74,30,7.72,AU,1748465621
49,san luis de la loma,17.2706,-100.8939,29.1,67,100,2.49,MX,1748465622
50,alesund,62.4723,6.1549,10.97,81,75,6.17,NO,1748465623
51,waitangi,-43.9535,-176.5597,15.42,87,100,14.45,NZ,1748465624
52,porto novo,6.4965,2.6036,25.9,80,97,3.29,BJ,1748465625
53,dudinka,69.4058,86.1778,-13.92,99,84,0.15,RU,1748465626
54,nemuro,43.3236,145.575,8.93,92,96,5.19,JP,1748465627
55,hermanus,-34.4187,19.2345,17.11,82,81,10.04,ZA,1748465628
56,longyearbyen,78.2186,15.6401,0.91,75,75,6.17,SJ,1748465629
57,north battleford,52.7834,-108.2847,28.05,30,0,1.03,CA,1748465630
58,dali,25.7,100.1833,16.19,99,100,1.35,CN,1748465631
59,ra's bayrut,33.9,35.4833,21.81,64,40,5.66,LB,1748465632
60,ayutla de los libres,16.9,-99.2167,27.77,69,100,1.05,MX,1748465634
61,jaguey grande,22.5269,-81.1286,34.87,36,48,2.16,CU,1748465635
62,nova sintra,14.8667,-24.7167,23.68,79,2,10.81,CV,1748465636
63,chibougamau,49.9168,-74.3659,24.79,16,0,4.63,CA,1748465637
64,vorgashor,67.5833,63.95,2.96,88,64,5.68,RU,1748465638
65,kodiak,57.79,-152.4072,8.73,81,100,2.06,US,1748465589
66,wailua homesteads,22.0669,-159.378,26.44,73,20,4.12,US,1748465640
67,adjumani,3.3779,31.7909,20.38,88,100,1.23,UG,1748465641
68,copala,16.65,-98.9833,30.39,60,100,2.73,MX,1748465642
69,suntar,62.1444,117.6319,6.7,87,100,3.85,RU,1748465643
70,bubaque,11.2833,-15.8333,25.95,89,79,6.47,GW,1748465644
71,papao,-17.75,-149.55,28.82,82,30,9.66,PF,1748465645
72,guerrero negro,27.9769,-114.0611,20.27,57,52,7.52,MX,1748465646
73,kapuskasing,49.4169,-82.4331,27.05,16,20,2.57,CA,1748465648
74,port elizabeth,-33.918,25.5701,20.16,89,0,7.72,ZA,1748465649
75,slave lake,55.2834,-114.769,27.99,23,0,5.14,CA,1748465650
76,kasempa,-13.4584,25.8338,16.94,58,68,2.09,ZM,1748465651
77,fisterra,42.9049,-9.2629,16.43,81,7,7.47,ES,1748465652
78,lagunas,-5.2269,-75.6753,27.82,91,51,0.88,PE,1748465653
79,klaksvik,62.2266,-6.589,8.81,80,9,7.12,FO,1748465654
80,kashgar,39.4547,75.9797,14.56,82,40,2.0,CN,1748465655
81,mili,6.0815,171.735,27.82,81,76,7.92,MH,1748465656
82,aasiaat,68.7098,-52.8699,1.62,81,88,3.98,GL,1748465657
83,okha,53.5739,142.9478,3.91,96,100,5.87,RU,1748465658
84,haiku-pauwela,20.9219,-156.3051,26.23,65,20,9.83,US,1748465659
85,jamestown,42.097,-79.2353,12.8,100,100,6.17,US,1748465660
86,lata,40.1629,-8.3327,14.72,75,0,0.79,PT,1748465661
87,sao jose da coroa grande,-8.8978,-35.1478,25.55,83,9,2.63,BR,1748465663
88,mabaruma,8.2,-59.7833,24.67,89,78,2.21,GY,1748465664
89,pacific grove,36.6177,-121.9166,14.82,87,100,5.66,US,1748465665
90,shibetsu,43.659,145.132,10.68,90,100,4.26,JP,1748465666
91,kununurra,-15.7667,128.7333,18.99,82,100,3.6,AU,1748465667
92,deir ez-zor,35.3359,40.1408,24.29,33,0,6.61,SY,1748465668
93,charters towers,-20.1,146.2667,20.09,92,100,3.16,AU,1748465669
94,avarua,-21.2078,-159.775,27.03,94,75,2.57,CK,1748465565
95,kargil,34.5667,76.1,7.0,49,4,2.49,IN,1748465671
96,alotau,-10.3069,150.4462,24.24,93,76,1.31,PG,1748465672
97,ghat,24.9647,10.1728,31.27,16,3,5.83,LY,1748465673
98,hadibu,12.65,54.0333,27.69,80,81,7.45,YE,1748465674
99,tralee,52.2704,-9.7026,13.12,95,100,3.53,IE,1748465675
100,ciutadella,40.0011,3.8414,21.14,73,4,0.89,ES,1748465677
101,invercargill,-46.4,168.35,9.45,94,100,2.24,NZ,1748465678
102,fort bragg,35.139,-79.006,27.6,71,20,3.09,US,1748465679
103,lompoc,34.6391,-120.4579,16.23,74,75,6.69,US,1748465553
104,port mathurin,-19.6833,63.4167,24.94,64,20,8.4,MU,1748465681
105,kushk,33.2957,61.9522,20.58,20,0,9.23,AF,1748465682
106,quellon,-43.1167,-73.6167,8.26,90,100,5.02,CL,1748465683
107,papatowai,-46.5619,169.4708,9.83,92,100,3.22,NZ,1748465684
108,hotan,37.0997,79.9269,19.64,35,100,3.62,CN,1748465685
109,uturoa,-16.7333,-151.4333,27.65,78,17,8.42,PF,1748465686
110,punta arenas,-53.15,-70.9167,3.06,87,75,0.51,CL,1748465689
111,payyannur,12.1,75.2,24.6,95,100,5.0,IN,1748465690
112,bulgan,48.8125,103.5347,1.44,90,88,2.63,MN,1748465691
113,peniche,39.3558,-9.3811,17.89,87,0,7.17,PT,1748465692
114,gebeit,21.0667,36.3167,25.76,30,42,1.39,SD,1748465693
115,baidoa,3.1138,43.6498,22.33,72,96,6.11,SO,1748465694
116,ouesso,1.6136,16.0517,22.92,88,94,0.49,CG,1748465695
117,west island,-12.1568,96.8225,26.99,83,75,6.17,CC,1748465697
118,sebastopol,44.6,33.5333,15.0,62,0,1.34,UA,1748465414
119,nuriootpa,-34.4833,139.0,10.87,86,35,1.82,AU,1748465699
120,talnakh,69.4865,88.3972,-11.16,98,96,0.84,RU,1748465700
121,mermoz boabab,14.7065,-17.4758,24.88,84,2,3.09,SN,1748465702
122,anapa,44.8908,37.3239,15.19,94,75,2.0,RU,1748465704
123,geraldton,-28.7667,114.6,21.23,37,100,12.35,AU,1748465705
